ISO3,Country,Income group,Region,reason category,employees + payroll,CCCTB,Three-factor,Double-weighted sales,Sales + employees,# formulas with a loss,loses under ALL formulas,worst loss (any formula),reported sample: worst loss,why
IRL,Ireland,investment_hub,Europe,A,-44197.6,-15469.6,-16789.4,-7815.3,-14756.4,5,True,-44197.6,-44108.4,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
ARE,United Arab Emirates,investment_hub,Asia,A,-39276.9,-35688.4,-37020.5,-36398.8,-38678.3,5,True,-39276.9,-26377.1,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
HKG,Hong Kong (China),investment_hub,Asia,A,-33976.3,-25426.1,-26563.6,-28197.0,-35015.7,5,True,-35015.7,-29209.5,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
CHE,Switzerland,investment_hub,Europe,A,-34722.2,-15574.2,-21150.1,-10314.1,-15563.2,5,True,-34722.2,-27745.8,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
SGP,Singapore,investment_hub,Asia,A,-28333.9,-26389.8,-29262.9,-27372.4,-30685.5,5,True,-30685.5,-24272.0,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
BMU,Bermuda,investment_hub,Caribbean/American isl.,A,-3772.2,-3630.8,-3643.2,-3683.5,-3808.9,5,True,-3808.9,-2801.7,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
CYM,Cayman Islands,investment_hub,Caribbean/American isl.,A,-2523.9,-2478.0,-2489.4,-2506.0,-2557.1,5,True,-2557.1,-2342.5,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
VGB,British Virgin Islands,investment_hub,Caribbean/American isl.,A,-2380.2,-2101.7,-2105.6,-2174.0,-2394.3,5,True,-2394.3,-2250.2,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
IMN,Isle of Man,investment_hub,Europe,A,-2044.1,-1786.6,-1803.9,-1877.6,-2110.6,5,True,-2110.6,-552.5,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
MUS,Mauritius,investment_hub,Africa,A,-1392.4,-1363.3,-1281.1,-1363.7,-1381.0,5,True,-1392.4,-418.5,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
PRI,Puerto Rico,investment_hub,Caribbean/American isl.,A,40315.7,12186.3,-711.7,-310.4,674.4,2,False,-711.7,-2721.7,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
GIB,Gibraltar,investment_hub,Europe,A,-576.4,-576.9,-577.4,-577.2,-577.1,5,True,-577.4,-539.0,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
BRB,Barbados,investment_hub,Caribbean/American isl.,A,-517.4,-433.7,-432.5,-435.3,-480.8,5,True,-517.4,-420.3,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
PAN,Panama,investment_hub,Latin America,A,-372.5,-36.9,234.2,-193.9,-502.3,4,False,-502.3,-228.7,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
