priority,iso3,country,commodity,what_is_needed,current_state,source_to_use,what_it_supports,collected_yes_no
HIGH,TKM,Turkmenistan,oil_gas,Annual govt hydrocarbon fiscal take 2016-22 (USD) + foreign-operated share,very-low; placeholder $4-12bn/yr tracking China gas imports; split 0.2/0.2/0.6; domestic 0.95,UN Comtrade/WITS China imports of gaseous natural gas from Turkmenistan + Oxford Institute gas note (https://wits.worldbank.org); Dragon Oil/Petronas/CNPC PSAs for the foreign split,Proxy via China gas-import value (NOT official fiscal take); foreign-operator split,
HIGH,BHR,Bahrain,oil_gas,Annual govt oil&gas revenue 2016-22 (USD) + pre/post/equity split,low; rough $3-8bn/yr,Bahrain MoF final-accounts archive + 2022 final account (https://www.mofne.gov.bh/en/reports-statistics/open-data/final-accounts/),Direct oil & gas revenue incl. Bahrain field / Abu Sa'afa / gas,
HIGH,VEN,Venezuela,oil_gas,Govt oil fiscal take 2019-2022 (USD),low; 2016-18 OPEC-sourced; 2019-22 untraceable post-sanctions,Reuters budget documents + EIA Venezuela + NRGI PDVSA profile (https://www.reuters.com),Budget oil-income estimates with the caveat that PDVSA data are opaque,
MEDIUM,USA,United States,oil_gas/coal/minerals,Sector corporate income tax (the post-profit component),low; ONRR federal royalties+bonuses+rents sourced (pre) but sector CIT missing,IRS SOI Corporation Income Tax Returns Publication 16 (https://www.irs.gov/statistics/soi-tax-stats-corporation-income-tax-returns-complete-report-publication-16),Sector CIT by industry incl. mining / oil & gas extraction,
MEDIUM,BRA,Brazil,oil_gas/minerals,Oil&gas private-operator CIT (post); minerals sector CIT (currently Vale 20-F proxy),low-med; ANP royalties (pre) + Petrobras->Union dividends (equity) sourced,ANP government-participations data + Vale tax transparency + Receita open data (https://data-basis.org),O&G royalties/special participation directly; mining tax partly via Vale/company reports,
MEDIUM,IND,India,minerals,Non-fuel-mineral private-miner CIT (Tata/JSW/Vedanta) + dead rent,low; royalty+DMF reconstructed; HZL & NMDC partly audited,Indian Minerals Yearbook / Ministry of Mines + PIB mining-revenue note + company tax reports (https://ibm.gov.in),Royalties/DMF/state mining revenue; company-level proxy for private-sector CIT,
MEDIUM,CHN,China,oil_gas/coal/minerals,2017 SOE dividend (equity) — no MoF category split published that year,med; all other years sourced,NPC/MoF 2017 budget & final accounts (https://en.npc.gov.cn.cdurl.cn/2018-03/04/c_674742.htm),Central state-capital-operation revenue/dividends (probably not cleanly split by resource sector),
MEDIUM,CAN,Canada,minerals,Annual mining royalty + CIT series 2016-22,low; only a 2023 NRCan anchor; oil&gas done (StatCan),NRCan 'Minerals and the economy' + NRCan mining-taxation page (https://natural-resources.canada.ca/minerals-mining/mining-data-statistics-analysis/minerals-economy),Mining CIT + royalties aggregate; provincial royalty structure,
MEDIUM,GNQ,Equatorial Guinea,oil_gas,Domestic-vs-foreign (NOC vs IOC) split,split low-confidence,IMF Article IV + EIA country analysis (https://www.elibrary.imf.org/view/journals/002/2024/025/article-A001-en.xml),Hydrocarbon-revenue context & fiscal dependence; combine with operator/NOC info for the split,
MEDIUM,SDN,Sudan,oil_gas,Domestic-vs-foreign split,split low-confidence; war-disrupted,IMF selected issues on Sudan's oil sector + Small Arms Survey oil-ownership paper (https://www.elibrary.imf.org/downloadpdf/journals/002/2020/073/article-A003-en.xml),Investor/stake context for CNPC/Petronas/ONGC/Sudapet; weak for annual fiscal take,
