# Effective resource-CIT rate for top extractive jurisdictions.
# combined_effective_rate is what to divide captured_cit by to imply local profit.
# Ring-fenced regimes (oil/petroleum specifically): combined includes special tax.
# General CIT regimes (mining, no separate resource tax): combined = headline.
# All rates as decimals. As of fiscal-year 2022-2024 averages.
iso3,country_name,headline_cit_rate,resource_surtax_rate,combined_effective_rate,regime_type,notes,source
NOR,Norway,0.22,0.56,0.78,oil_ringfence,22% CIT + 56% special petroleum tax (continental shelf only),IMF FARI 2022 + Norwegian Petroleum Tax Act
GBR,United Kingdom,0.3,0.35,0.65,oil_ringfence,30% ring-fence CIT + 35% Energy Profits Levy (post-Nov 2022); pre-2022 effective ~40%,HMRC + Energy Profits Levy Act 2022
AUS,Australia,0.3,0.2,0.5,oil_ringfence,30% CIT + 40% PRRT on petroleum (offshore + onshore conventional). PRRT effective ~20% accounting for deductions. Mining royalty state-level,ATO + Tax Justice Network Australia
USA,United States,0.21,0.05,0.26,general,21% federal CIT + ~5% state corporate tax (avg of TX/OK/AK/ND/NM/WY); state severance taxes separate (treated as cost-side),IRS + state DoR averages
CAN,Canada,0.15,0.12,0.27,general,"15% federal + ~12% provincial average (AB 8%, SK 12%); mining and oil royalties cost-side",CRA + provincial budgets
NLD,Netherlands,0.25,0.25,0.5,oil_ringfence,25.8% CIT + 25% State Profit Share on petroleum (continental shelf),Mining Act 2003 + Belastingdienst
DNK,Denmark,0.22,0.3,0.52,oil_ringfence,22% CIT + 52% hydrocarbon tax (effective ~30%); North Sea fields,IMF FARI Denmark + Danish Hydrocarbon Tax Act
RUS,Russia,0.2,0.2,0.4,oil_ringfence,20% CIT + Mineral Extraction Tax (MET) on oil ~20% effective; export duty also material,Russian Tax Code Ch 26
CHN,China,0.25,0.05,0.3,general,25% CIT + ~5% resource tax effective; SOE retentions complicate,PRC State Taxation Admin
SAU,Saudi Arabia,0.2,0.65,0.85,oil_ringfence,Aramco-only effective rate post-2017 reform: 50% income tax + royalty + dividend; aggregate fiscal take ≈ 85%,Saudi Royal Decree A/152/2017 + IMF Article IV
ARE,United Arab Emirates,0.0,0.55,0.55,oil_ringfence,Concession-level effective rate ~55-65%; UAE introduced 9% federal CIT in 2023 but petroleum sector kept emirate-level fiscal regime,ADNOC concession docs + IMF
KWT,Kuwait,0.15,0.4,0.55,oil_ringfence,15% headline CIT but oil sector via KPC structure; effective fiscal take similar to Aramco range,Kuwait Petroleum Corp + IMF
QAT,Qatar,0.1,0.25,0.35,oil_ringfence,35% on oil/gas concession profits; QatarEnergy structure,Qatar Tax Law + IMF
IRN,Iran,0.25,0.3,0.55,oil_ringfence,25% CIT + buyback contract structures; effective ~55% on NIOC consortium projects,IMF Article IV + buyback contract terms
